source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references
Q16254	Q14209	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ENCODE-proximal;GEREDB_CollecTRI;HTRIdb;PAZAR;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:15718499;CollecTRI:17531812;CollecTRI:21247883;CollecTRI:9149906;HTRIdb:17531812;PAZAR:21247883
Q16254	Q9UJA3	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;GEREDB_CollecTRI;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:16325355;CollecTRI:17531812;HTRIdb:17531812
P18146	P16035	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:12571843
P18146	P35625	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:12571843
P18146	Q06889	1	0	0	0	0	0	ARACNe-GTEx_DoRothEA;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA	
P11308	P10275	1	0	1	1	0	1	CollecTRI;DoRothEA;GEREDB_CollecTRI;IntAct_DoRothEA;ReMap_DoRothEA	CollecTRI:20478527
P03372	O00300	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:11356664
P03372	P51636	1	1	0	1	1	0	CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;GEREDB_CollecTRI;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:12138116;CollecTRI:12711000;CollecTRI:18414489;HTRIdb:18414489
P14921	P15036	1	1	0	1	1	0	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:1501883
P14921	P08648	1	1	0	1	1	0	CollecTRI;DoRothEA;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA	CollecTRI:11691823
