=== Hyperparameter Tuning for Standard MLP ===
Goal: Maximize accuracy through systematic search

Loading data...
Dataset: 33171 train | 7108 val | 7109 test

Testing 242 configurations...

  # |  Emb |  Hid |  Out |     LR |   Temp |   BS | Epochs | Val Acc | Test Acc
----------------------------------------------------------------------------------------------------
124 |   64 |  512 |   64 | 0.0010 | 0.5000 |  256 |     30 |  68.95% |   69.52%
125 |   64 |  512 |   64 | 0.0050 | 0.0500 |  256 |     13 |  67.81% |   66.52%
126 |   64 |  512 |   64 | 0.0050 | 0.1000 |  256 |     10 |  59.81% |   56.87%
127 |   64 |  512 |   64 | 0.0050 | 0.2000 |  256 |     10 |  59.76% |   51.78%
128 |   64 |  512 |   64 | 0.0050 | 0.5000 |  256 |     10 |  60.44% |   40.03%
129 |  128 |   64 |  128 | 0.0001 | 0.0500 |  256 |     30 |  52.91% |   53.20%
130 |  128 |   64 |  128 | 0.0001 | 0.1000 |  256 |     30 |  52.93% |   53.20%
131 |  128 |   64 |  128 | 0.0001 | 0.2000 |  256 |     30 |  52.94% |   53.20%
132 |  128 |   64 |  128 | 0.0001 | 0.5000 |  256 |     30 |  52.94% |   53.20%
133 |  128 |   64 |  128 | 0.0005 | 0.0500 |  256 |     30 |  57.40% |   57.94%
134 |  128 |   64 |  128 | 0.0005 | 0.1000 |  256 |     30 |  57.40% |   57.95%
135 |  128 |   64 |  128 | 0.0005 | 0.2000 |  256 |     30 |  57.40% |   57.95%
136 |  128 |   64 |  128 | 0.0005 | 0.5000 |  256 |     30 |  57.40% |   57.95%
137 |  128 |   64 |  128 | 0.0010 | 0.0500 |  256 |     30 |  59.19% |   59.63%
138 |  128 |   64 |  128 | 0.0010 | 0.1000 |  256 |     30 |  59.21% |   59.61%
139 |  128 |   64 |  128 | 0.0010 | 0.2000 |  256 |     30 |  59.21% |   59.60%
140 |  128 |   64 |  128 | 0.0010 | 0.5000 |  256 |     30 |  59.23% |   59.60%
141 |  128 |   64 |  128 | 0.0050 | 0.0500 |  256 |     26 |  64.72% |   62.41%
142 |  128 |   64 |  128 | 0.0050 | 0.1000 |  256 |     30 |  65.48% |   62.91%
143 |  128 |   64 |  128 | 0.0050 | 0.2000 |  256 |     30 |  65.91% |   64.23%
144 |  128 |   64 |  128 | 0.0050 | 0.5000 |  256 |     30 |  66.45% |   65.82%
145 |  128 |  128 |  128 | 0.0001 | 0.0500 |  256 |     30 |  55.92% |   56.46%
146 |  128 |  128 |  128 | 0.0001 | 0.1000 |  256 |     30 |  55.92% |   56.45%
147 |  128 |  128 |  128 | 0.0001 | 0.2000 |  256 |     30 |  55.92% |   56.45%
148 |  128 |  128 |  128 | 0.0001 | 0.5000 |  256 |     30 |  55.92% |   56.45%
149 |  128 |  128 |  128 | 0.0005 | 0.0500 |  256 |     30 |  64.55% |   65.06%
150 |  128 |  128 |  128 | 0.0005 | 0.1000 |  256 |     30 |  64.53% |   65.06%
151 |  128 |  128 |  128 | 0.0005 | 0.2000 |  256 |     30 |  64.53% |   65.06%
152 |  128 |  128 |  128 | 0.0005 | 0.5000 |  256 |     30 |  64.53% |   65.06%
153 |  128 |  128 |  128 | 0.0010 | 0.0500 |  256 |     30 |  67.77% |   68.35%
154 |  128 |  128 |  128 | 0.0010 | 0.1000 |  256 |     30 |  67.74% |   68.36%
155 |  128 |  128 |  128 | 0.0010 | 0.2000 |  256 |     30 |  67.73% |   68.36%
156 |  128 |  128 |  128 | 0.0010 | 0.5000 |  256 |     30 |  67.73% |   68.35%
157 |  128 |  128 |  128 | 0.0050 | 0.0500 |  256 |     30 |  76.01% |   77.31%
158 |  128 |  128 |  128 | 0.0050 | 0.1000 |  256 |     30 |  76.04% |   77.32%
159 |  128 |  128 |  128 | 0.0050 | 0.2000 |  256 |     30 |  76.00% |   77.31%
160 |  128 |  128 |  128 | 0.0050 | 0.5000 |  256 |     30 |  76.00% |   77.30%
161 |  128 |  256 |  128 | 0.0001 | 0.0500 |  256 |     30 |  55.11% |   55.07%
162 |  128 |  256 |  128 | 0.0001 | 0.1000 |  256 |     30 |  55.09% |   55.07%
163 |  128 |  256 |  128 | 0.0001 | 0.2000 |  256 |     30 |  55.09% |   55.10%
164 |  128 |  256 |  128 | 0.0001 | 0.5000 |  256 |     30 |  55.09% |   55.10%
165 |  128 |  256 |  128 | 0.0005 | 0.0500 |  256 |     30 |  62.01% |   62.43%
166 |  128 |  256 |  128 | 0.0005 | 0.1000 |  256 |     30 |  62.00% |   62.44%
167 |  128 |  256 |  128 | 0.0005 | 0.2000 |  256 |     30 |  61.99% |   62.41%
168 |  128 |  256 |  128 | 0.0005 | 0.5000 |  256 |     30 |  61.99% |   62.41%
169 |  128 |  256 |  128 | 0.0010 | 0.0500 |  256 |     30 |  65.10% |   65.71%
170 |  128 |  256 |  128 | 0.0010 | 0.1000 |  256 |     30 |  65.12% |   65.72%
171 |  128 |  256 |  128 | 0.0010 | 0.2000 |  256 |     30 |  65.14% |   65.75%
172 |  128 |  256 |  128 | 0.0010 | 0.5000 |  256 |     30 |  65.15% |   65.76%
173 |  128 |  256 |  128 | 0.0050 | 0.0500 |  256 |     30 |  75.51% |   76.86%
174 |  128 |  256 |  128 | 0.0050 | 0.1000 |  256 |     30 |  75.58% |   77.11%
175 |  128 |  256 |  128 | 0.0050 | 0.2000 |  256 |     30 |  75.65% |   77.11%
176 |  128 |  256 |  128 | 0.0050 | 0.5000 |  256 |     30 |  75.65% |   77.17%
177 |  128 |  512 |  128 | 0.0001 | 0.0500 |  256 |     30 |  58.19% |   57.39%
178 |  128 |  512 |  128 | 0.0001 | 0.1000 |  256 |     30 |  58.19% |   57.39%
179 |  128 |  512 |  128 | 0.0001 | 0.2000 |  256 |     30 |  58.19% |   57.38%
180 |  128 |  512 |  128 | 0.0001 | 0.5000 |  256 |     30 |  58.19% |   57.38%
